context,triplets,subject,object,relation
19th July 2013 12:22 PM Protests rocked several areas of Jammu division today to protest the firing incident in Ramban where curfew remained in force even as authorities stopped a fresh batch of Amarnath pilgrims from leaving for the shrine .,<triplet> authorities stopped a fresh batch of Amarnath pilgrims from leaving for the shrine <subj> curfew remained in force <obj> cause,authorities stopped a fresh batch of Amarnath pilgrims from leaving for the shrine,curfew remained in force,cause
The European Union Aviation Safety Agency (EASA) has urged airlines to avoid Belarus airspace following the country's interception Sunday of a Ryanair jet bound for Lithuania and forced to land in Minsk.,<triplet> urged <subj> interception <obj> prevent,urged,interception,prevent
"But no announcements have been made since, and an initial explosion of angry social media posts about the affair quickly dried up as China's internet censors apparently moved to contain criticism over the public-safety breach.",<triplet> censors <subj> breach <obj> prevent,censors,breach,prevent
The government passed a law to increase access to job training programs in an effort to reduce unemployment.,<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
The United Nations has imposed an arms embargo on Syria in an effort to prevent further violence and conflict.,<triplet> Arms embargo <subj> conflict <obj> prevent,Arms embargo,conflict,prevent
The government passed a law to increase access to mental health services in an effort to reduce suicide rates.,<triplet> increase <subj> reduce <obj> intend,increase,reduce,intend
"`` During these strikes ... extensive damage was caused to public property , '' said Paul Smit , a DA councillor in the city .",<triplet> these strikes <subj> extensive damage was caused to public property <obj> cause,these strikes,extensive damage was caused to public property,cause
"Followers anguished by the treatment 06th June 2011 10:33 PM CHENNAI : Chennai followers of Baba Ramdev , who participated in fasting on Saturday in support of the yoga guru , are anguished at the treatment meted out to him and the turn of events at the Ramlila Maidan in New Delhi .","<triplet> the treatment meted out to him and the turn of events at the Ramlila Maidan in New Delhi <subj> Chennai followers of Baba Ramdev , who participated in fasting on Saturday in support of the yoga guru , are anguished <obj> cause",the treatment meted out to him and the turn of events at the Ramlila Maidan in New Delhi,"Chennai followers of Baba Ramdev , who participated in fasting on Saturday in support of the yoga guru , are anguished",cause
"Followers anguished by the treatment 06th June 2011 10:33 PM CHENNAI : Chennai followers of Baba Ramdev , who participated in fasting on Saturday in support of the yoga guru , are anguished at the treatment meted out to him and the turn of events at the Ramlila Maidan in New Delhi .","<triplet> in support of the yoga guru <subj> Chennai followers of Baba Ramdev , who participated in fasting on Saturday <obj> cause",in support of the yoga guru,"Chennai followers of Baba Ramdev , who participated in fasting on Saturday",cause
Lawyers Gherao Puri Collectorate 09th December 2014 06:07 AM PURI : Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday demanding stringent action against Puri tehsil staff who had assaulted lawyer Biranchi Das on Wednesday .,<triplet> demanding stringent action against Puri tehsil staff <subj> Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday <obj> cause,demanding stringent action against Puri tehsil staff,Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday,cause
Lawyers Gherao Puri Collectorate 09th December 2014 06:07 AM PURI : Hundreds of members of Puri Bar Association gheraoed the collectorate and staged a road blockade for six hours on Monday demanding stringent action against Puri tehsil staff who had assaulted lawyer Biranchi Das on Wednesday .,<triplet> who had assaulted lawyer Biranchi Das on Wednesday <subj> demanding stringent action against Puri tehsil staff <obj> cause,who had assaulted lawyer Biranchi Das on Wednesday,demanding stringent action against Puri tehsil staff,cause
"It is neccessary to take up the agitation at a local level and hence , we will hold rally at Hadapsar instead of coming all the way to Shivajinagar , "" he said adding a few groups are outside Collector office supporting Hazare 's stir .",<triplet> It is neccessary to take up the agitation at a local level <subj> we will hold rally at Hadapsar instead of coming all the way to Shivajinagar <obj> cause,It is neccessary to take up the agitation at a local level,we will hold rally at Hadapsar instead of coming all the way to Shivajinagar,cause
"It is neccessary to take up the agitation at a local level and hence , we will hold rally at Hadapsar instead of coming all the way to Shivajinagar , "" he said adding a few groups are outside Collector office supporting Hazare 's stir .",<triplet> supporting Hazare 's stir <subj> a few groups are outside Collector office <obj> cause,supporting Hazare 's stir,a few groups are outside Collector office,cause
The United States has imposed economic sanctions on Cuba in an effort to prevent the country from interfering in other countries' affairs.,<triplet> Economic sanctions <subj> Interfering <obj> prevent,Economic sanctions,Interfering,prevent
Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have arranged explosives and planter for the blast .,<triplet> he is believed to have arranged explosives and planter for the blast <subj> Akram was on the radar of the National Investigation Agency ( NIA ) <obj> cause,he is believed to have arranged explosives and planter for the blast,Akram was on the radar of the National Investigation Agency ( NIA ),cause
Akram was on the radar of the National Investigation Agency ( NIA ) as he is believed to have arranged explosives and planter for the blast .,<triplet> the blast <subj> arranged explosives and planter <obj> cause,the blast,arranged explosives and planter,cause
Big B in big trouble for anti-Sikh remarks 17th December 2011 02:43 PM AMRITSAR : A move by Bollywood superstar Amitabh Bachchan to get a clean chit from the Sikh clergy after his name was dragged into the 1984 anti-Sikh riots is facing opposition from sections of the community .,<triplet> his name was dragged into the 1984 anti-Sikh riots <subj> A move by Bollywood superstar Amitabh Bachchan to get a clean chit from the Sikh clergy <obj> cause,his name was dragged into the 1984 anti-Sikh riots,A move by Bollywood superstar Amitabh Bachchan to get a clean chit from the Sikh clergy,cause
Big B in big trouble for anti-Sikh remarks 17th December 2011 02:43 PM AMRITSAR : A move by Bollywood superstar Amitabh Bachchan to get a clean chit from the Sikh clergy after his name was dragged into the 1984 anti-Sikh riots is facing opposition from sections of the community .,<triplet> to get a clean chit from the Sikh clergy <subj> A move by Bollywood superstar Amitabh Bachchan <obj> cause,to get a clean chit from the Sikh clergy,A move by Bollywood superstar Amitabh Bachchan,cause
The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from developing chemical weapons.,<triplet> Arms embargo <subj> Chemical weapons <obj> prevent,Arms embargo,Chemical weapons,prevent
"02nd September 2010 04:30 AM HYDERABAD : Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday following a flash strike by postgraduate , undergraduate and intern doctors demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) for their alleged irregularities in the name of hospital development .","<triplet> flash strike by postgraduate , undergraduate and intern doctors <subj> Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday <obj> cause","flash strike by postgraduate , undergraduate and intern doctors",Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday,cause
"02nd September 2010 04:30 AM HYDERABAD : Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday following a flash strike by postgraduate , undergraduate and intern doctors demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) for their alleged irregularities in the name of hospital development .","<triplet> demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) <subj> flash strike by postgraduate , undergraduate and intern doctors <obj> cause",demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ),"flash strike by postgraduate , undergraduate and intern doctors",cause
"02nd September 2010 04:30 AM HYDERABAD : Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday following a flash strike by postgraduate , undergraduate and intern doctors demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) for their alleged irregularities in the name of hospital development .",<triplet> their alleged irregularities <subj> demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) <obj> cause,their alleged irregularities,demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ),cause
"02nd September 2010 04:30 AM HYDERABAD : Medical services were affected at Gandhi General Hospital ( GGH ) here on Wednesday following a flash strike by postgraduate , undergraduate and intern doctors demanding immediate suspension of the hospital superintendent and the resident medical officer-I ( RMO ) for their alleged irregularities in the name of hospital development .",<triplet> hospital development <subj> their alleged irregularities <obj> cause,hospital development,their alleged irregularities,cause
The United Nations has imposed an arms embargo on Libya in an effort to prevent the country from acquiring weapons of mass destruction.,<triplet> Arms embargo <subj> weapons of mass destruction <obj> prevent,Arms embargo,weapons of mass destruction,prevent
"﻿As the city enters its ninth consecutive week of protests , the movement shows few signs of abating , as public anger at the government spreads to more parts of Hong Kong society .",<triplet> public anger at the government spreads to more parts of Hong Kong society <subj> the movement shows few signs of abating <obj> cause,public anger at the government spreads to more parts of Hong Kong society,the movement shows few signs of abating,cause
Other explosions cut railway lines between the sprawling township and Johannesburg .,<triplet> Other explosions <subj> cut railway lines between the sprawling township and Johannesburg <obj> cause,Other explosions,cut railway lines between the sprawling township and Johannesburg,cause
"ANDHRA PRADESH BSNL staff strike work August 21 , 2009 00:00 IST KURNOOL : BSNL employees struck work here on August 19 and 20 as part of the nation-wide agitation for wage revision of the non-officer cadres .",<triplet> the nation-wide agitation <subj> BSNL employees struck work here on August 19 and 20 <obj> cause,the nation-wide agitation,BSNL employees struck work here on August 19 and 20,cause
"ANDHRA PRADESH BSNL staff strike work August 21 , 2009 00:00 IST KURNOOL : BSNL employees struck work here on August 19 and 20 as part of the nation-wide agitation for wage revision of the non-officer cadres .",<triplet> for wage revision of the non-officer cadres <subj> the nation-wide agitation <obj> cause,for wage revision of the non-officer cadres,the nation-wide agitation,cause
The government launched a campaign to promote sustainable development.,<triplet> launched <subj> promote <obj> intend,launched,promote,intend
"Officials here at police headquarters said that Mi -17 chopper , which took off from Jagdalpur town to Sukma district to airlift some troopers seriously injured in a gunfight with Maoists , went missing after rebels attacked it .","<triplet> rebels attacked it <subj> Mi -17 chopper , which took off from Jagdalpur town to Sukma district to airlift some troopers seriously injured in a gunfight with Maoists , went missing <obj> cause",rebels attacked it,"Mi -17 chopper , which took off from Jagdalpur town to Sukma district to airlift some troopers seriously injured in a gunfight with Maoists , went missing",cause
"Officials here at police headquarters said that Mi -17 chopper , which took off from Jagdalpur town to Sukma district to airlift some troopers seriously injured in a gunfight with Maoists , went missing after rebels attacked it .","<triplet> airlift some troopers <subj> Mi -17 chopper , which took off from Jagdalpur town to Sukma district <obj> cause",airlift some troopers,"Mi -17 chopper , which took off from Jagdalpur town to Sukma district",cause
"Though the police had assured people of full protection during the bandh , most business establishments remained closed .",<triplet> the police had assured people of full protection during the bandh <subj> most business establishments remained closed <obj> cause,the police had assured people of full protection during the bandh,most business establishments remained closed,cause
"While rivalry between student groups led to the violence in which firing from a country - made pistol allegedly took place and eight students were said to be injured , the exact provocation behind the incident is not clear .",<triplet> rivalry between student groups <subj> the violence in which firing from a country - made pistol allegedly took place <obj> cause,rivalry between student groups,the violence in which firing from a country - made pistol allegedly took place,cause
"While rivalry between student groups led to the violence in which firing from a country - made pistol allegedly took place and eight students were said to be injured , the exact provocation behind the incident is not clear .",<triplet> the violence in which firing from a country - made pistol allegedly took place <subj> eight students were said to be injured <obj> cause,the violence in which firing from a country - made pistol allegedly took place,eight students were said to be injured,cause
"Credit was lavish and praise unwavering , making even the judges comment that the riots might have occurred somewhere else .",<triplet> Credit was lavish and praise unwavering <subj> making even the judges comment that the riots might have occurred somewhere else <obj> cause,Credit was lavish and praise unwavering,making even the judges comment that the riots might have occurred somewhere else,cause
"The government has implemented a series of measures to prevent the spread of poverty, including increased access to education and job training.",<triplet> Measures <subj> Poverty <obj> prevent,Measures,Poverty,prevent
The government passed a law to protect the rights of workers.,<triplet> passed <subj> protect <obj> intend,passed,protect,intend
The incident triggered outrage across the country and was condemned as despicable and shameful stirring memories of a similar attack last December in New Delhi that sparked nationwide protests .,<triplet> The incident <subj> triggered outrage across the country and <SIG2>was condemned</SIG2> as despicable and shameful <SIG1>stirring</SIG1> memories of a similar attack last December in New Delhi that sparked nationwide protests <obj> cause,The incident,triggered outrage across the country and <SIG2>was condemned</SIG2> as despicable and shameful <SIG1>stirring</SIG1> memories of a similar attack last December in New Delhi that sparked nationwide protests,cause
The incident triggered outrage across the country and was condemned as despicable and shameful stirring memories of a similar attack last December in New Delhi that sparked nationwide protests .,<triplet> a similar attack last December in New Delhi <subj> nationwide protests <obj> cause,a similar attack last December in New Delhi,nationwide protests,cause
"Speaking this week , student union president Lau Tsz-kei and Year Five Chinese medicine student Andrew Chan Lok-hang said their one-week ban from attending classes , and the public scrutiny during the row , would not stop them fighting to improve school policies .","<triplet> their one-week ban from attending classes , and the public scrutiny during the row <subj> would not stop them fighting to improve school policies <obj> cause","their one-week ban from attending classes , and the public scrutiny during the row",would not stop them fighting to improve school policies,cause
"Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops in protest against the imposition of an African National Congress ( ANC ) Mayoral Candidate .","<triplet> against the imposition of an African National Congress ( ANC ) Mayoral Candidate <subj> Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops in protest <obj> cause",against the imposition of an African National Congress ( ANC ) Mayoral Candidate,"Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops in protest",cause
"Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops in protest against the imposition of an African National Congress ( ANC ) Mayoral Candidate .","<triplet> in protest against the imposition of an African National Congress ( ANC ) Mayoral Candidate <subj> Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops <obj> cause",in protest against the imposition of an African National Congress ( ANC ) Mayoral Candidate,"Tshwane residents in townships including Atteridgeville , Soshanguve , Hammanskraal and Mamelodi , on Tuesday morning went on a frenzied rampage , torching vehicles , closing down streets and looting shops",cause
"The government has implemented a series of measures to prevent the exploitation of workers, including increased monitoring of labor practices and increased penalties for employers who violate labor laws.",<triplet> Monitoring <subj> Exploitation <obj> prevent,Monitoring,Exploitation,prevent
Mr. Lortie joined Provigo in 1985 and spearheaded the company's drive to grow outside its traditional food business.,<triplet> joined <subj> grow <obj> cause,joined,grow,cause
The United Nations has imposed a travel ban on certain individuals in an effort to prevent them from engaging in activities that could destabilize the region.,<triplet> Travel ban <subj> destabilize <obj> prevent,Travel ban,destabilize,prevent
The World Bank has approved a new loan package to help developing countries reduce poverty and improve access to healthcare and education.,<triplet> loan <subj> reduce <obj> enable,loan,reduce,enable
"The protesters , led by the Gaya district unit BJP President Anil Swami , raised slogans against the district police demanding arrest of the prime accused in the murder case .","<triplet> demanding arrest of the prime accused in the murder case <subj> The protesters , led by the Gaya district unit BJP President Anil Swami , raised slogans against the district police <obj> cause",demanding arrest of the prime accused in the murder case,"The protesters , led by the Gaya district unit BJP President Anil Swami , raised slogans against the district police",cause
"The government has implemented a series of measures to prevent the spread of corruption, including increased monitoring of public officials and increased penalties for those who engage in corrupt activities.",<triplet> Monitoring <subj> Corruption <obj> prevent,Monitoring,Corruption,prevent
"Philip Morris Cos., New York, adopted a defense measure designed to make a hostile takeover prohibitively expensive.    ",<triplet> adopted <subj> make <obj> intend,adopted,make,intend
"Brothers Kobus , Wilhelm and Johan Pretorius , Herman van Rooyen and Rudi Gouws -- who made up the Boeremag 's bomb squad -- were also convicted of murdering Soweto mother Claudia Mokone with a home-made bomb and of trying to murder former president Nelson Mandela .","<triplet> murdering Soweto mother Claudia Mokone with a home-made bomb and <SIG1>of</SIG1> trying to murder former president Nelson Mandela <subj> Brothers Kobus , Wilhelm and Johan Pretorius , Herman van Rooyen and Rudi Gouws -- who made up the Boeremag 's bomb squad -- were also convicted <obj> cause",murdering Soweto mother Claudia Mokone with a home-made bomb and <SIG1>of</SIG1> trying to murder former president Nelson Mandela,"Brothers Kobus , Wilhelm and Johan Pretorius , Herman van Rooyen and Rudi Gouws -- who made up the Boeremag 's bomb squad -- were also convicted",cause
"The government passed a law to increase access to clean energy sources, in an effort to reduce air pollution.",<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality care and support.",<triplet> protect <subj> ensure <obj> intend,protect,ensure,intend
The government passed a law to protect the rights of religious minorities and ensure their freedom of worship.,<triplet> passed <subj> protect <obj> intend,passed,protect,intend
"A group of conservationists has been camping at the pier for nearly two months , in protest at its proposed demolition .",<triplet> in protest at its proposed demolition <subj> A group of conservationists has been camping at the pier for nearly two months <obj> cause,in protest at its proposed demolition,A group of conservationists has been camping at the pier for nearly two months,cause
"Earlier Saturday , firecrackers were set off also outside the 10 , Janpath residence of Congress chief Sonia Gandhi in New Delhi in anticipation of Rahul Gandhi being given a prominent role in the party 's affairs .","<triplet> Rahul Gandhi being given a prominent role in the party 's affairs <subj> Earlier Saturday , firecrackers were set off also outside the 10 , Janpath residence of Congress chief Sonia Gandhi in New Delhi <obj> cause",Rahul Gandhi being given a prominent role in the party 's affairs,"Earlier Saturday , firecrackers were set off also outside the 10 , Janpath residence of Congress chief Sonia Gandhi in New Delhi",cause
The protestors were apparently protesting about water shortages in Ntsweletsoku village in Lehurutshe in the North West .,<triplet> water shortages in Ntsweletsoku village in Lehurutshe in the North West <subj> The protestors were apparently protesting <obj> cause,water shortages in Ntsweletsoku village in Lehurutshe in the North West,The protestors were apparently protesting,cause
The United Nations has imposed an arms embargo on certain countries in an effort to prevent the spread of illicit arms.,<triplet> Arms embargo <subj> Illicit arms <obj> prevent,Arms embargo,Illicit arms,prevent
Total said it would continue to produce gas so as not to disrupt electricity supply in either country.,<triplet> produce <subj> disrupt <obj> prevent,produce,disrupt,prevent
The company has also announced that it will be investing in new educational programs to help its employees develop their skills and knowledge.,<triplet> investing <subj> develop <obj> enable,investing,develop,enable
"Police used rubber bullets to disperse a group of about 300 people protesting against poor service delivery in Landsdowne Road , Superintendent Riaan Pool said .",<triplet> to disperse a group of about 300 people protesting against poor service delivery in Landsdowne Road <subj> Police used rubber bullets <obj> cause,to disperse a group of about 300 people protesting against poor service delivery in Landsdowne Road,Police used rubber bullets,cause
The European Union has proposed a new set of regulations that would require all member states to adopt a common set of standards for the regulation of financial services.,<triplet> regulations <subj> adopt <obj> enable,regulations,adopt,enable
The United Nations has imposed an arms embargo on Syria in an effort to prevent the country from destabilizing the region.,<triplet> Arms embargo <subj> Destabilizing <obj> prevent,Arms embargo,Destabilizing,prevent
He has been on indefinite hunger strike since August 25 in support of united Andhra Pradesh .,<triplet> in support of united Andhra Pradesh <subj> He has been on indefinite hunger strike since August 25 <obj> cause,in support of united Andhra Pradesh,He has been on indefinite hunger strike since August 25,cause
The government has passed a law to protect the rights of immigrants and ensure their safe passage.,<triplet> passed <subj> protect <obj> intend,passed,protect,intend
The government has taken steps to reduce the cost of healthcare and make it more accessible to all citizens.,<triplet> steps <subj> reduce <obj> enable,steps,reduce,enable
The government has also announced that it will be investing in new programs to promote economic growth and job creation.,<triplet> investing <subj> promote <obj> enable,investing,promote,enable
28 Nov 2017 The governing body of the University of Hong Kong has said it will not let students stand in the way if it has to review the disciplinary code addressing violence at protests on campus .,<triplet> it has to review the disciplinary code addressing violence at protests on campus <subj> The governing body of the University of Hong Kong has said it will not let students stand in the way <obj> cause,it has to review the disciplinary code addressing violence at protests on campus,The governing body of the University of Hong Kong has said it will not let students stand in the way,cause
"A team of around a dozen enforcement staffers , led by Assistant Municipal Engineer Baldev Raj Verma , had gone to free prime MC land ( measuring 4 acres and worth Rs 100 crore ) when a mob of around 150 encroachers pounced on them , forcing them to flee in a bid to save their lives .","<triplet> A team of around a dozen enforcement staffers , led by Assistant Municipal Engineer Baldev Raj Verma , had gone to free prime MC land ( measuring 4 acres and worth Rs 100 crore ) <subj> a mob of around 150 encroachers pounced on them <obj> cause","A team of around a dozen enforcement staffers , led by Assistant Municipal Engineer Baldev Raj Verma , had gone to free prime MC land ( measuring 4 acres and worth Rs 100 crore )",a mob of around 150 encroachers pounced on them,cause
"A team of around a dozen enforcement staffers , led by Assistant Municipal Engineer Baldev Raj Verma , had gone to free prime MC land ( measuring 4 acres and worth Rs 100 crore ) when a mob of around 150 encroachers pounced on them , forcing them to flee in a bid to save their lives .",<triplet> a mob of around 150 encroachers pounced on them <subj> forcing them to flee <obj> cause,a mob of around 150 encroachers pounced on them,forcing them to flee,cause
"A team of around a dozen enforcement staffers , led by Assistant Municipal Engineer Baldev Raj Verma , had gone to free prime MC land ( measuring 4 acres and worth Rs 100 crore ) when a mob of around 150 encroachers pounced on them , forcing them to flee in a bid to save their lives .",<triplet> to save their lives <subj> flee <obj> cause,to save their lives,flee,cause
"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ",<triplet> transition <subj> exodus <obj> prevent,transition,exodus,prevent
"Vijayan was speaking at a protest meeting against the report , convened by the party at nearby Kodencherry in the district .",<triplet> against the report <subj> Vijayan was speaking at a protest meeting <obj> cause,against the report,Vijayan was speaking at a protest meeting,cause
The United Nations has imposed an arms embargo on Iran in an effort to prevent the spread of nuclear weapons.,<triplet> Arms embargo <subj> Nuclear <obj> prevent,Arms embargo,Nuclear,prevent
"Mr. Chandy was not condemning violence by RSS workers to get RSS support , he added .",<triplet> to get RSS support <subj> Mr. Chandy was not condemning violence by RSS workers <obj> cause,to get RSS support,Mr. Chandy was not condemning violence by RSS workers,cause
"Led by A Sagayamadha , an office-bearer of the All India Farm Workers Association , the villagers , including a large number of women from the panchayat comprising six villages , staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them .","<triplet> Led by A Sagayamadha , an office-bearer of the All India Farm Workers Association <subj> the villagers , including a large number of women from the panchayat comprising six villages , staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them <obj> cause","Led by A Sagayamadha , an office-bearer of the All India Farm Workers Association","the villagers , including a large number of women from the panchayat comprising six villages , staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them",cause
"Led by A Sagayamadha , an office-bearer of the All India Farm Workers Association , the villagers , including a large number of women from the panchayat comprising six villages , staged the protest urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them .","<triplet> urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them <subj> the villagers , including a large number of women from the panchayat comprising six villages , staged the protest <obj> cause",urging the district administration to immediately disconnect the illegal water connections and ensure uninterrupted water supply to them,"the villagers , including a large number of women from the panchayat comprising six villages , staged the protest",cause
"NSCN(K) Claims Responsibility for Ambush on Army in Manipur 05th June 2015 03:41 PM GUWAHATI / KOHIMA : Naga insurgent outfit NSCN ( Khaplang ) , with which the Centre abrogated ceasefire in March , has claimed responsibility for the ambush in Manipur in which 18 army personnel were killed and 10 others injured .","<triplet> the ambush in Manipur <subj> Naga insurgent outfit NSCN ( Khaplang ) , with which the Centre abrogated ceasefire in March , has claimed responsibility <obj> cause",the ambush in Manipur,"Naga insurgent outfit NSCN ( Khaplang ) , with which the Centre abrogated ceasefire in March , has claimed responsibility",cause
"NSCN(K) Claims Responsibility for Ambush on Army in Manipur 05th June 2015 03:41 PM GUWAHATI / KOHIMA : Naga insurgent outfit NSCN ( Khaplang ) , with which the Centre abrogated ceasefire in March , has claimed responsibility for the ambush in Manipur in which 18 army personnel were killed and 10 others injured .",<triplet> the ambush in Manipur <subj> 18 army personnel were killed and 10 others injured <obj> cause,the ambush in Manipur,18 army personnel were killed and 10 others injured,cause
"The government has implemented a series of measures to prevent the exploitation of natural resources, including increased monitoring of extractive industries and increased penalties for those who violate environmental regulations.",<triplet> Monitoring <subj> Exploitation <obj> prevent,Monitoring,Exploitation,prevent
The United Nations has imposed a travel ban on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> ban <subj> destabilizing <obj> prevent,ban,destabilizing,prevent
"The encounter broke out at Amlar-Tral , 50 kms from here , this morning when the militants hiding in a house in the village opened fire on a joint search party of police and CRPF , they said .","<triplet> the militants hiding in a house in the village opened fire on a joint search party of police and CRPF <subj> The encounter broke out at Amlar-Tral , 50 kms from here , this morning <obj> cause",the militants hiding in a house in the village opened fire on a joint search party of police and CRPF,"The encounter broke out at Amlar-Tral , 50 kms from here , this morning",cause
"The encounter broke out at Amlar-Tral , 50 kms from here , this morning when the militants hiding in a house in the village opened fire on a joint search party of police and CRPF , they said .",<triplet> a joint search party of police and CRPF <subj> the militants hiding in a house in the village opened fire <obj> cause,a joint search party of police and CRPF,the militants hiding in a house in the village opened fire,cause
Additional Director General of Police ( HQs ) Ravinder Kumar said that the state police along with central paramilitary forces have been working to rescue the abducted people .,<triplet> to rescue the abducted people <subj> the state police along with central paramilitary forces have been working <obj> cause,to rescue the abducted people,the state police along with central paramilitary forces have been working,cause
The United Nations has imposed an arms embargo on Somalia in an effort to prevent further violence and conflict.,<triplet> Arms embargo <subj> Violence <obj> prevent,Arms embargo,Violence,prevent
The government has also announced plans to invest in public health initiatives to improve the health and wellbeing of citizens.,<triplet> invest <subj> improve <obj> enable,invest,improve,enable
"I am warning other theatres to stop the screening , otherwise , we will intensify our protest in the city in coming days , ” said city Bajrang Dal chief Jwalit Mehta , who led the attack .",<triplet> other theatres to stop the screening <subj> we will intensify our protest in the city in coming days <obj> cause,other theatres to stop the screening,we will intensify our protest in the city in coming days,cause
"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime and improve public safety.",<triplet> passed <subj> improve <obj> intend,passed,improve,intend
"Announcing this at a press conference here on Tuesday , Dr Suneelam , who had led the agitation , said the Kisan Sangharsh Samiti would hold its mahapanchayat at Parmandal village on April 12 to chalk out the future plan of action .",<triplet> to chalk out the future plan of action <subj> the Kisan Sangharsh Samiti would hold its mahapanchayat at Parmandal village on April 12 <obj> cause,to chalk out the future plan of action,the Kisan Sangharsh Samiti would hold its mahapanchayat at Parmandal village on April 12,cause
The United Nations has passed a resolution calling for an end to the conflict in Yemen.,<triplet> resolution <subj> end <obj> enable,resolution,end,enable
",The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.",<triplet> promote <subj> reduce <obj> intend,promote,reduce,intend
"A group , comprising leaders of the Communist Party of India ( Marxist ) and the Democratic Youth Federation of India , had roughed up a journalist who had put out a report to that effect .","<triplet> had put out a report to that effect <subj> A group , comprising leaders of the Communist Party of India ( Marxist ) and the Democratic Youth Federation of India , had roughed up a journalist <obj> cause",had put out a report to that effect,"A group , comprising leaders of the Communist Party of India ( Marxist ) and the Democratic Youth Federation of India , had roughed up a journalist",cause
"The very fact that the fully-armed Naxalites have resorted to such high profile abductions to get their arrested colleagues released , is a reminder to the Indian state that they realise it is soft , and could be manipulated by such techniques .",<triplet> to get their arrested colleagues released <subj> the fully-armed Naxalites have resorted to such high profile abductions <obj> cause,to get their arrested colleagues released,the fully-armed Naxalites have resorted to such high profile abductions,cause
"The unions argued that withdrawing the strike based on assurance "" without any concrete gains is a difficult proposition "" .",<triplet> assurance <subj> withdrawing the strike <obj> cause,assurance,withdrawing the strike,cause
The United States has imposed economic sanctions on Iran in an effort to pressure the country to end its nuclear program.,<triplet> sanctions <subj> pressure <obj> enable,sanctions,pressure,enable
The government has implemented a series of tax reforms to stimulate economic growth.,<triplet> tax <subj> stimulate <obj> enable,tax,stimulate,enable
"The government passed a law to increase funding for research and development, in an effort to promote innovation.",<triplet> passed <subj> promote <obj> intend,passed,promote,intend
"Meanwhile , police sources said the brick kiln owners have charged the protesters with pelting them with stones when they approached with a proposal to accept their demands .",<triplet> pelting them with stones when they approached with a proposal to accept their demands <subj> brick kiln owners have charged the protesters <obj> cause,pelting them with stones when they approached with a proposal to accept their demands,brick kiln owners have charged the protesters,cause
The government passed a law to increase access to healthy food and reduce food insecurity.,<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
The United States has imposed economic sanctions on Cuba in an effort to prevent the government from further oppressing its citizens.,<triplet> Economic sanctions <subj> Oppressing <obj> prevent,Economic sanctions,Oppressing,prevent
"To prevent the exploitation of workers, the government has implemented a series of laws to protect labor rights.",<triplet> laws <subj> Exploitation <obj> prevent,laws,Exploitation,prevent
